ubicacion,nombre,telefono,direccion
"Ecuador, TUNGURAHUA, Baños Tungurahua",Hotel Achupalla,03-2740389,"16 de Diciembre y Ambato, Frente al Parque de la Basílica"
"Ecuador, EL ORO, Puerto Bolívar",Hotel Adriand's,07-2927531,Av José Ugarte y Gonzalo Córdova (Pto. Bolívar)
"Ecuador, PICHINCHA, Quito",Hotel Aeropuerto,02-2435899,Av Amazonas N50-25 y Geodésicos
"Ecuador, GUAYAS, Guayaquil",Hotel Alexander,042532000,Luque 1107 y Av Quito
"Ecuador, AZUAY, Cuenca",Hotel Alli Tiana,07-2831844,Pdte. Córdova y Padre Aguirre Esq.
"Ecuador, PICHINCHA, Quito",Hotel Alston Inn,02-2222721,Juan León Mera N23-41 y Veintimilla
"Ecuador, GUAYAS, Guayaquil",Hotel Andes Inn,04-2329796,Lorenzo de Garaycoa # 1233 E/ Clemente Ballén y Aguirre
"Ecuador, MANABI, Manta",Hotel Arena Mar,05-2381856,Calle 101 E/ Av 106 y 107 (Fte. Monumento del Pescador)
"Ecuador, AZUAY, Cuenca",Hotel Best Plaza,07-2809214,Eloy Alfaro 1-43 y Av Huayna-Cápac
"Ecuador, MANABI, Bahía",Hotel Casa Ceibo,05-2399399,Av Sixto Durán Ballén Km 5.5
"Ecuador, MANABI, Portoviejo",Hotel Ceibo Real,05-2655109,Av Manabí  y P Montúfar Esquina
"Ecuador, GUAYAS, Guayaquil",Hotel Cityplaza,042309209,"Boyacá 922 y Víctor Manuel Rendón, esquina"
"Ecuador, MORONA SANTIAGO, Sucúa",Hotel Don Guimo,07-2740483,Domingo Comín s/n y Kiruba
"Ecuador, SANTA ELENA, Salinas",Hotel Don Mincho,04-2775034,Av Principal Carlos Espinoza Larrea diagonal a Supermaxi
"Ecuador, MANABI, Portoviejo",Hotel Ejecutivo,05-2630840,18 de Oct e/ 10 de Agosto y Pedro Gual
"Ecuador, EL ORO, Machala",Hotel Ejecutivo,07-2933992,Sucre y 9 de Mayo Esq.
"Ecuador, PICHINCHA, Quito",Hotel Ejido Real,02-2523565,Av Tarqui E1-206 y Luis Felipe Borja (Frente al Parque El Ejido)
